UserID,Uclass,Age,Sex,Estate,HousingPrice,MeanPrice,HousingRate,January,Feburary,March,April,May,June,July,August,September,October,November,December,ComplaintTime
230205291,3,52,男,望海花园小区4725,4725,5404,4,8071.3,62.1,3462,8501.2,9631.8,8444.8,6302.6,7008.5,7096.9,9031.4,2829.7,4830.3,8
8111444124,3,,,兴安家园小区3833,3833,4381,4,90.41,188.71,209.41,276.75,205.63,157.81,325.36,367.77,221.88,294.02,253.38,273.77,10
8260428653,3,25,男,新城怡景小区3030,3030,3454,4,192.95,221.92,235.34,208.17,170.25,229.38,261.43,658.92,862.64,629.85,494.06,81.48,7
90091227,1,43,男,铁路小区3251,3251,3704,4,44.46,54.25,81.79,76.31,76.55,65.37,59.1,62.14,8.76,0,50.01,55.44,11
90094880,1,,,铁路小区3251,3251,3704,4,138.85,210.63,147.77,128.15,103.65,104.7,146.07,130.26,145.25,165.88,191.4,191.33,9
269412053,1,,,海逸诗阁8866,8866,10084,4,61.21,65.99,76.72,66.02,47.03,60.32,94.3,68.38,44.33,41.8,36.86,47.91,8
8117843536,1,38,男,御景湾亿城二期6947,6947,7875,4,178.7,186.04,159.79,198.4,145.02,159.89,146.04,198.88,181.49,240.27,218.14,210.16,11
230431982,1,75,男,二号小区4789,4789,5404,4,130.99,123.86,130.31,134.32,137.96,128.5,132.26,132.17,128.45,136.06,131.84,140.85,9
172253831,1,,,永丰商业区5460,5460,6160,4,117.28,87.15,97.05,94.91,106.4,109.45,167.23,90.6,30.27,23.15,0,0,11
8092468760,1,47,女,南奥国际10952,10952,12272,4,124.22,168.31,170.38,173.25,168.18,137.63,126.52,167.97,136.91,114.79,154.5,157.77,4
50070611,1,,,科达小区6782,6782,7564,4,259.64,359.58,298.41,164.52,169.66,142.36,164.08,191.29,209.18,280.31,221.98,291.71,8
50071119,1,42,男,科达小区6782,6782,7564,4,90.84,67.16,75.47,63.88,46.29,35.6,41.84,52.94,42.52,14.59,70.46,70.88,8
